stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
379,14093,Aukland Rd at Dundas St West,,43.638954,-79.539233,,,,,,2
381,11238,Avenue Rd at Old Orchard Grove,,43.731855,-79.419461,,,,,,1
383,13478,3174 Bathurst St,,43.721937,-79.430488,,,,,,1
384,134,Bathurst St at Elm Ridge Dr,,43.705395,-79.426541,,,,,,1
386,143,Bathurst St at Glencairn Ave,,43.71225,-79.427979,,,,,,1
388,204,Bathurst St at St Clair Ave West,,43.683275,-79.418455,,,,,,1
390,9719,Bathurst St at Steeles Ave West,,43.792055,-79.445475,,,,,,1
392,11641,Baycrest Home For Aged,,43.729774,-79.434176,,,,,,2
393,11640,Wagman Centre,,43.729171,-79.439941,,,,,,2
394,9122,Bayview Ave at Valleyanna Dr,,43.724199,-79.379442,,,,,,1
395,3325,Belfield Rd at Brockport Dr West Side,,43.698945,-79.588836,,,,,,1
396,3326,Belfield Rd at Brockport Dr,,43.698544,-79.589609,,,,,,1
397,11091,Berry Rd at Park Lawn Rd,,43.635915,-79.494083,,,,,,1
398,1740,Birchmount Rd at Finch Ave East,,43.799148,-79.306217,,,,,,1
399,7549,Birchmount Rd at Highview Ave South Side,,43.69976,-79.265226,,,,,,1
400,7550,Birchmount Rd at Highview Ave,,43.699574,-79.264956,,,,,,1
401,9720,Birchmount Rd at Steeles Ave South Side,,43.820861,-79.316825,,,,,,1
403,526,Bloor St West at Islington Ave West Side,,43.64451,-79.524265,,,,,,1
404,11999,Bloor St West at Islington Ave,,43.644845,-79.52317,,,,,,1
405,9952,Bloor St West at Jane St,,43.649118,-79.484624,,,,,,1
409,12258,Brentcliffe Rd at Vanderhoof Ave,,43.712582,-79.35886,,,,,,2
412,14314,Church St at Lombard St North Side,,43.652135,-79.375233,,,,,,2
413,4886,Church St at Uphill Ave,,43.708692,-79.508365,,,,,,1
416,9534,Cordova Ave at Dundas St West,,43.648728,-79.528413,,,,,,2
418,4908,Coxwell Ave at Mortimer Ave - Michael Garron Hospital,,43.690745,-79.326731,,,,,,1
419,4911,Coxwell Ave at Plains Rd,,43.696055,-79.328913,,,,,,1
425,1842,3450 Danforth Ave,,43.694178,-79.275031,,,,,,1
426,9955,Danforth Ave at Main St,,43.688277,-79.301688,,,,,,1
427,4003,Keele St at Keelegate Dr,,43.73283,-79.483379,,,,,,1
428,11689,Keele St at St Clair Ave West,,43.672216,-79.467341,,,,,,1
429,7899,Keele St at St Clair Ave West,,43.672009,-79.467228,,,,,,1
430,10755,Keele St at Toro Rd,,43.75995,-79.490202,,,,,,1
431,9154,Keele St at Wilson Ave North Side,,43.72718,-79.481969,,,,,,1
432,14141,Wilson Ave at Keele St North Side,,43.727289,-79.481998,,,,,,1
433,2752,Kennedy Rd at Eglinton Ave East,,43.731911,-79.267673,,,,,,1
434,4113,Kennedy Rd at Progress Ave,,43.769265,-79.282028,,,,,,1
435,13624,King St West at Shaw St East Side,,43.641451,-79.414528,,,,,,1
437,4187,King St West at Strachan Ave,,43.641936,-79.412095,,,,,,1
440,4285,Kipling Ave at Belfield Rd - Etobicoke North GO Station,,43.704725,-79.56316,,,,,,1
441,4291,Kipling Ave at Bloor St West North Side,,43.642305,-79.535426,,,,,,1
444,5213,Lansdowne Ave at Davenport Rd South Side,,43.671144,-79.44826,,,,,,2
445,11632,Lansdowne Ave at Dundas St West South Side,,43.649559,-79.439653,,,,,,2
446,11578,Lansdowne Ave at St Clair Ave West,,43.676123,-79.450405,,,,,,1
447,13068,Lawrence Ave East at East Ave - Rouge Hill GO Station,,43.780829,-79.131368,,,,,,1
448,5299,Lawrence Ave East at Orton Park Rd,,43.763877,-79.205766,,,,,,1
449,5357,Lawrence Ave West at Culford Rd,,43.706494,-79.487529,,,,,,1
451,6046,Lawrence Ave West at Scarlett Rd East Side,,43.698378,-79.522285,,,,,,2
452,5410,Lawrence Ave West at Varna Dr West Side,,43.717543,-79.437933,,,,,,1
453,5415,Lawrence Ave West at Weston Rd - Weston GO Station,,43.700276,-79.516006,,,,,,1
454,11638,Lawrence Plaza at Canada Trust,,43.719613,-79.432586,,,,,,1
455,11637,Lawrence Sq at Northwest Entrance,,43.717187,-79.448281,,,,,,1
456,11145,Leslie St at Eastern Ave,,43.661641,-79.329622,,,,,,1
457,5451,Leslie St at Kirkwood Rd North Side,,43.757087,-79.36075,,,,,,1
458,5455,Leslie St at Lawrence Ave East,,43.734288,-79.355687,,,,,,1
459,11377,Leslie St at Queen St East South Side,,43.662648,-79.330047,,,,,,1
461,1242,Lonsdale Rd at Avenue Rd East Side,,43.690834,-79.402303,,,,,,1
462,13366,Exhibition Loop at Manitoba Dr,,43.636511,-79.41471,,,,,,2
463,12584,Exhibition Loop,,43.636331,-79.415373,,,,,,1
465,6528,Toronto Zoo,,43.819735,-79.179955,,,,,,1
466,6527,Toronto Zoo,,43.819606,-79.17988,,,,,,1
467,6526,Toronto Zoo,,43.819273,-79.179669,,,,,,1
470,6530,Rouge Hill GO Station Loop,,43.780905,-79.129822,,,,,,1
471,6532,Humber Loop at The Queensway,,43.631119,-79.478867,,,,,,1
472,6523,Humber Loop at The Queensway,,43.631002,-79.47873,,,,,,1
475,7948,Earlscourt Loop at St Clair Ave West,,43.675983,-79.451027,,,,,,2
477,4435,Long Branch Loop,,43.592111,-79.5437,,,,,,1
478,10927,Queens Quay Loop at Lower Spadina Ave,,43.638419,-79.39184,,,,,,1
485,14061,Westwood Square Bus Terminal at Morning Star Dr,,43.721726,-79.640711,,,,,,2
486,2852,Lumsden Ave at Westlake Ave,,43.694557,-79.307848,,,,,,1
487,11364,Progress Ave at Markham Rd East Side,,43.781933,-79.233259,,,,,,1
488,11635,Toronto Rehab - Bickle Centre at 130 Dunn Ave,,43.635202,-79.432965,,,,,,2
489,11845,Queen St East at Kingston Rd,,43.667029,-79.312948,,,,,,1
490,13461,Queen St East at Kingston Rd,,43.667119,-79.31289,,,,,,2
491,6051,Queen St West at Shaw St,,43.644499,-79.416852,,,,,,1
492,8038,Queen's Park Cres West at Hoskin Ave,,43.665601,-79.393747,,,,,,1
493,1459,Queen's Park Cres East at St Joseph St North Side,,43.66527,-79.391226,,,,,,1
496,12139,The Queensway at Morgan Ave,,43.626433,-79.501779,,,,,,1
497,6920,The Queensway at Stephen Dr,,43.630517,-79.484019,,,,,,2
